"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1812096";"";"None";"203.28";"0";"2.29";"39";"O=C(Cc1ccccc1)NC1CCCC1";"Inhibition";"'='";"1.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1816110";"Antagonist activity at Pseudomonas aeruginosa PAO1 MW1 (pUM15) LasR assessed as inhibition of N-(3-oxo)-dodecanoyl HL-induced quorum sensing activation at 10 uM relative to untreated control";"F";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PAO1";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL1811866";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";"1.0"
"CHEMBL3596497";"";"None";"294.43";"1";"5.25";"8";"CCCCCCCCCCCCOc1cc(C)oc(=O)c1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3598696";"Inhibition of LasR in Pseudomonas aeruginosa PA14 assessed as reduction in lasA gene expression at 10 uM by RT-qPCR method";"B";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PA14";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL3596092";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";""
"CHEMBL3596497";"";"None";"294.43";"1";"5.25";"8";"CCCCCCCCCCCCOc1cc(C)oc(=O)c1";"Inhibition";"";"";"%";"";"";"Dose-dependent effect";"UO_0000187";"";"";"";"";"0";"CHEMBL3598630";"Inhibition of LasR in Pseudomonas aeruginosa PA14 assessed as reduction in biofilm formation incubated at 37 degC for 24 hrs by crystal violet staining based static biofilm formation assay";"B";"BAO_0000357";"single protein format";"Pseudomonas aeruginosa PA14";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL3596092";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";""
"CHEMBL3596497";"";"None";"294.43";"1";"5.25";"8";"CCCCCCCCCCCCOc1cc(C)oc(=O)c1";"Inhibition";"'='";"6.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3598629";"Inhibition of LasR in Pseudomonas aeruginosa PA14 assessed as reduction in biofilm formation at 0.1 to 10 uM incubated at 37 degC for 24 hrs by crystal violet staining based static biofilm formation assay";"B";"BAO_0000357";"single protein format";"Pseudomonas aeruginosa PA14";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL3596092";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"6.0"
"CHEMBL3596497";"";"None";"294.43";"1";"5.25";"8";"CCCCCCCCCCCCOc1cc(C)oc(=O)c1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3598709";"Inhibition of LasR in Pseudomonas aeruginosa PA14 assessed as reduction in phzC1 gene expression at 10 uM by RT-qPCR method";"B";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PA14";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL3596092";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";""
"CHEMBL3596497";"";"None";"294.43";"1";"5.25";"8";"CCCCCCCCCCCCOc1cc(C)oc(=O)c1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3598706";"Inhibition of LasR in Pseudomonas aeruginosa PA14 assessed as reduction in pqsD gene expression at 10 uM by RT-qPCR method";"B";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PA14";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL3596092";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";""
"CHEMBL3596497";"";"None";"294.43";"1";"5.25";"8";"CCCCCCCCCCCCOc1cc(C)oc(=O)c1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3598705";"Inhibition of LasR in Pseudomonas aeruginosa PA14 assessed as reduction in pqsC gene expression at 10 uM by RT-qPCR method";"B";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PA14";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL3596092";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";""
"CHEMBL405566";"";"None";"253.69";"0";"1.31";"C6";"O=C(Cc1cccc(Cl)c1)N[C@H]1CCOC1=O";"Inhibition";"'='";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL921546";"Inhibition of Pseudomonas aeruginosa LasR";"B";"BAO_0000357";"single protein format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL1142409";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"50.0"
"CHEMBL3116450";"";"None";"229.07";"0";"2.65";"7-BBF";"O=C1C=C2CCCCC(Br)=C2O1";"Inhibition";"'='";"69.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3118161";"Antagonist activity at LasR in Pseudomonas aeruginosa PAO1 expressing LasI assessed as inhibition of GFP production at 300 uM after 24 hrs by fluorescence assay relative to control";"B";"BAO_0000357";"single protein format";"Pseudomonas aeruginosa PAO1";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL3112522";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";"";"";"";"69.0"
"CHEMBL3596497";"";"None";"294.43";"1";"5.25";"8";"CCCCCCCCCCCCOc1cc(C)oc(=O)c1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3598704";"Inhibition of LasR in Pseudomonas aeruginosa PA14 assessed as reduction in mvfR gene expression at 10 uM by RT-qPCR method";"B";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PA14";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL3596092";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";""
"CHEMBL5190145";"";"None";"363.34";"0";"2.37";"Cpd IV";"O=C(Cn1cc(-c2ccc([N+](=O)[O-])cc2)nn1)Nc1nc2ccccc2[nH]1";"Inhibition";"'='";"67.1";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL5110426";"Inhibition of Pseudomonas aeruginosa MH602 LasR co-transfected with ASVgfp reporter assessed as inhibition of GFP production at 125 uM by fluorescence based analysis";"B";"BAO_0000019";"assay format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL5108020";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"Dose = 125.0 microM";"INHIBITOR";"";"67.1"
"CHEMBL5190145";"";"None";"363.34";"0";"2.37";"Cpd IV";"O=C(Cn1cc(-c2ccc([N+](=O)[O-])cc2)nn1)Nc1nc2ccccc2[nH]1";"Inhibition";"'='";"63.67";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL5110427";"Inhibition of Pseudomonas aeruginosa MH602 LasR co-transfected with ASVgfp reporter assessed as inhibition of GFP production at 62.5 uM by fluorescence based analysis";"B";"BAO_0000019";"assay format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL5108020";"1";"Scientific Literature";"Eur J Med Chem";"2022";"None";"Dose = 62.5 microM";"INHIBITOR";"";"63.67"
"CHEMBL1812101";"";"None";"281.44";"0";"4.15";"13";"CCCCCCCCCC(=O)CC(=O)NC1CCCC1";"Inhibition";"'='";"-1.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1816110";"Antagonist activity at Pseudomonas aeruginosa PAO1 MW1 (pUM15) LasR assessed as inhibition of N-(3-oxo)-dodecanoyl HL-induced quorum sensing activation at 10 uM relative to untreated control";"F";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PAO1";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL1811866";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";"-1.0"
"CHEMBL1812095";"";"None";"233.31";"0";"2.30";"38";"COc1ccc(CC(=O)NC2CCCC2)cc1";"Inhibition";"'='";"-1.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1816110";"Antagonist activity at Pseudomonas aeruginosa PAO1 MW1 (pUM15) LasR assessed as inhibition of N-(3-oxo)-dodecanoyl HL-induced quorum sensing activation at 10 uM relative to untreated control";"F";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PAO1";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL1811866";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";"-1.0"
"CHEMBL1823930";"";"None";"229.30";"0";"0.89";"12";"CCCC(=O)CC(=O)N[C@H]1CCSC1=O";"Inhibition";"'='";"-23.0";"%";"";"Outside typical range";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1815983";"Antagonist activity at Pseudomonas aeruginosa PAO1 MW1 (pUM15) LasR assessed as inhibition of OdDHL-induced quorum sensing activation at 10 uM after 8 hrs by beta-galactosidase reporter gene assay relative to untreated control";"F";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PAO1";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL1811864";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";"-23.0"
"CHEMBL3421662";"";"None";"529.21";"2";"5.17";"15";"O=C(Cc1cc(Br)cc(Br)c1OCCCN=C=S)Nc1ccccc1[N+](=O)[O-]";"Inhibition";"'='";"55.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3425153";"Antagonist activity at Pseudomonas aeruginosa LasR expressed in Escherichia coli BL21 DE3 at 100 uM after 4 to 6 hrs by GFP reporter gene assay relative to Br-HSL";"B";"BAO_0000019";"assay format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL3421563";"1";"Scientific Literature";"ACS Med Chem Lett";"2015";"None";"";"";"";"55.0"
"CHEMBL1812108";"";"None";"293.41";"0";"4.00";"20";"CCCCCCCCCC(=O)CC(=O)NCc1ccco1";"Inhibition";"'='";"26.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1816110";"Antagonist activity at Pseudomonas aeruginosa PAO1 MW1 (pUM15) LasR assessed as inhibition of N-(3-oxo)-dodecanoyl HL-induced quorum sensing activation at 10 uM relative to untreated control";"F";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PAO1";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL1811866";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";"26.0"
"CHEMBL1812120";"";"None";"265.31";"0";"1.31";"33";"CCOC(=O)CNC(=O)CCc1ccc(OC)cc1";"Inhibition";"'='";"-6.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1816110";"Antagonist activity at Pseudomonas aeruginosa PAO1 MW1 (pUM15) LasR assessed as inhibition of N-(3-oxo)-dodecanoyl HL-induced quorum sensing activation at 10 uM relative to untreated control";"F";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PAO1";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL1811866";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";"-6.0"
"CHEMBL1814832";"";"None";"229.34";"0";"2.11";"21";"CCCCCCC(=O)N[C@H]1CCSC1=O";"Inhibition";"'='";"-8.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1815983";"Antagonist activity at Pseudomonas aeruginosa PAO1 MW1 (pUM15) LasR assessed as inhibition of OdDHL-induced quorum sensing activation at 10 uM after 8 hrs by beta-galactosidase reporter gene assay relative to untreated control";"F";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PAO1";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL1811864";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";"";"";"";"-8.0"
"CHEMBL3596497";"";"None";"294.43";"1";"5.25";"8";"CCCCCCCCCCCCOc1cc(C)oc(=O)c1";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3598708";"Inhibition of LasR in Pseudomonas aeruginosa PA14 assessed as reduction in pqsH gene expression at 10 uM by RT-qPCR method";"B";"BAO_0000019";"assay format";"Pseudomonas aeruginosa PA14";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL3596092";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";""
"CHEMBL3421663";"";"None";"543.24";"2";"5.56";"16";"O=C(Cc1cc(Br)cc(Br)c1OCCCCN=C=S)Nc1ccccc1[N+](=O)[O-]";"Inhibition";"";"";"%";"";"";"Active";"UO_0000187";"";"";"";"";"0";"CHEMBL3425156";"Non-competitive antagonist activity at Pseudomonas aeruginosa LasR expressed in Escherichia coli BL21 DE3 at 40 to 80 uM after 4 to 6 hrs by GFP reporter gene assay in presence of LasR agonist 3-oxo-C12HSL";"B";"BAO_0000019";"assay format";"Pseudomonas aeruginosa";"None";"None";"None";"None";"";"";"";"CHEMBL1075207";"Transcriptional activator protein lasR";"Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)";"SINGLE PROTEIN";"CHEMBL3421563";"1";"Scientific Literature";"ACS Med Chem Lett";"2015";"None";"";"";"";""
